Country,Beds,Facilities,Healthcare Professionals,Cases_Alcohol,Cases_Disorders,Cases_Substance,Cases_Eating_Disorders
Afghanistan,0.59282,0.02075,0.62543,339.8904,15365.00629,912.5610968,122.69392332681
Albania,25.62127,0.992,10.63847,1852.807496,11621.24752,2404.889852,127.56567302960
Algeria,11.96342,0.16302,,438.0991168,14075.0317,1134.743821,226.01271156801
Angola,1.10914,0.02513,0.9189,804.6918484,10871.44586,1231.70003,133.52691358157
Argentina,43.28412,3.88089,244.27789,2252.042994,13001.42566,3236.652085,338.38050193281
Armenia,1.71412,1.47414,16.147,2254.116195,11330.03468,2845.896832,121.74121355681
Australia,39.35788,2.52945,207.14252,2011.628925,17635.19662,4892.512595,939.13132037636
Austria,105.23518,10.87726,,2860.15901,15075.18388,4220.375125,482.66537887740
Azerbaijan,34.52046,0.41592,11.44791,2912.051837,10177.92293,3481.830583,155.93295925352
The Bahamas,100.55889,1.29254,,2106.811779,14322.22162,3353.79934,309.76835892856
Bangladesh,2.98447,0.13585,1.12716,1153.051853,11496.07099,1641.77971,127.88646382971
Belarus,60.56439,0.66415,19.01796,3300.516487,12770.36093,4107.493632,115.40559083538
Belgium,186.95174,2.1616,173.6455,2466.975237,14213.94527,3688.853099,362.25556505498
Belize,16.14304,4.73159,5.84489,1498.593707,14003.75359,2646.090122,222.91023803291
Benin,,,,406.7732989,9852.891822,803.4977361,100.52351377711
Bhutan,1.27003,3.68307,0.63501,2393.282177,11777.98787,2933.98888,171.71828079517
Bolivia,,0.09323,1.12824,,,1924.442052,250.71568698375
Bosnia and Herzegovina,37.10449,2.0645,32.29674,2350.694025,11939.20437,2767.481354,116.80295844230
Botswana,17.06502,0.63372,,1936.401714,11141.28306,2739.641325,207.56790053521
Brazil,12.32411,1.94113,57.08769,3157.591698,16806.34477,4405.130811,243.33285712511
Brunei,11.25635,4.31094,21.55471,1048.245306,10089.90879,2470.137786,511.85711276473
Bulgaria,60.94133,8.49891,27.58661,2046.380132,11630.51572,2660.597061,123.66480070049
Burkina Faso,0.66812,0.28712,0.70677,411.2137415,9789.713501,715.7809324,91.70332136060
Burundi,1.38245,0.04901,0.61768,1048.000898,11026.16825,1411.127336,72.84220457124
Cambodia,0.03222,1.14063,7.75247,774.5641407,11828.94827,1320.112287,92.96438097254
Cameroon,,,,453.6877494,10242.09857,977.6415929,120.89019790554
Canada,25.58907,0.78802,277.47886,1885.294883,13799.02403,4315.322142,362.16752953288
Central African Republic,0.52793,0.022,0.066,887.5113991,12874.8086,1262.640039,75.33674379294
Chad,0.01428,0.01428,0.03569,334.9193477,9935.22409,639.4041587,91.61351627985
Chile,18.42065,2.52214,8.85002,2914.683112,14750.02502,355.7979013,355.79790126568
China,24.28769,0.06793,7.6224,1462.156718,11260.42443,2212.943794,105.14004262681
Colombia,0,2.50266,1.83501,2260.268074,11794.9625,3343.603157,231.54810272105
Republic of Congo,1.00087,0.06005,0.62055,1032.276961,11742.84078,1535.36688,136.59594363114
Costa Rica,19.40575,1.95514,228.6052,1989.526727,12795.89076,2819.117276,252.50684665731
Ivory Coast,0,0.06058,0.51063,451.6355801,9761.952682,873.5493474,122.45979816662
Croatia,91.85553,4.57979,58.61661,2599.957878,12208.68881,3353.778642,138.97878133812
Cuba,85.91422,4.90339,50.35147,1734.71596,15292.73645,2583.005304,165.51689299354
Cyprus,14.81501,1.63654,34.97031,1866.341984,15285.58084,2856.756202,408.41974736950
Czech Republic,93.27821,12.87279,46.43635,2627.995978,11376.98833,3599.001402,155.90962652197
North Korea,,,,859.2260552,11779.99134,1496.97601,66.01410765172
Democratic Republic of the Congo,,,,817.5404745,11905.11686,1203.334625,78.67705533217
Denmark,51.59356,,,3189.001417,13589.97996,398.1248437,398.12484373893
Djibouti,,,,1291.438225,10811.64521,1641.337465,121.36339718222
Dominican Republic,0.54139,1.84263,10.17249,1326.537734,14449.37594,2211.11334,248.70374623196
Ecuador,0.81143,3.45013,8.1948,961.8598106,13924.70925,1591.156427,304.46157382850
Egypt,7.07628,0.06077,7.10187,391.7129077,13788.72769,936.3421092,214.61198449229
El Salvador,5.94062,1.01387,3.26337,3551.696417,12700.30995,4009.716868,214.62034577220
Equatorial Guinea,19.39783,0.42539,6.29579,961.4680461,11517.86339,1627.768794,242.06201277290
Eritrea,4.53891,0.45389,2.29009,1370.439958,11214.673,1819.158043,98.02509201512
Estonia,87.62797,36.32798,46.66398,2109.703841,12608.90507,3551.954225,145.61454447628
Ethiopia,0.97524,0.11615,1.16348,1989.536727,10593.33797,2353.45684,92.55207818484
Fiji,13.56276,3.92312,2.80222,603.9227849,11110.41868,1397.607382,109.30820237985
Finland,126.83405,11.32805,187.7976,2395.414478,14101.34308,3606.85041,388.22840799865
France,121.47596,,167.62752,2117.996621,15755.93764,3391.53533,381.33694523633
Gabon,6.21705,0.10362,1.65788,1101.55903,12276.80152,1722.130212,201.06148578869
Gambia,,,0.50566,412.5564167,11121.81348,101.4023209,101.40232088438
Georgia,39.25068,1.08819,14.95626,2408.772931,11152.77464,2922.027705,109.92415289939
Germany,195.91767,2.47344,62.75656,2260.315742,14849.98713,3378.143822,340.09305627139
Ghana,6.33003,3.51668,7.85634,492.2889179,10356.07656,1122.591294,131.68812949779
Greece,31.12909,9.19965,30.79036,1611.272734,16856.44827,2433.047893,335.70262042401
Greenland,,,,3836.621961,16699.34416,5744.396034,474.06768113003
Guatemala,2.47347,1.45208,47.71594,3129.056257,12300.17572,3634.411562,215.50869786000
Guinea,0.51276,0.00827,0.04135,379.1660603,10025.44088,693.7293706,93.44998841738
Guinea Bissau,2.03329,0.11296,1.07313,,,803.155576,96.99320951047
Guyana,20.8194,0.52048,0.91085,1901.309014,15589.16355,2813.442168,207.36377031005
Haiti,1.98859,0.15872,1.24171,1320.568889,14545.40033,2074.505941,136.20544244838
Honduras,1.33916,0.17856,1.51771,2061.403898,11821.70244,2710.2765,188.07732834598
Hungary,85.67114,11.22249,47.30209,2682.604973,11766.38382,3349.087587,152.28136862555
Iceland,50.87163,7.87299,,2254.38945,13779.24953,3585.927241,418.82566128887
India,7.16388,0.25691,1.22172,1142.503277,13515.69477,1811.16106,143.99662761188
Indonesia,,0.12279,3.00238,522.5098002,10612.51697,1124.640679,119.93130723441
Iran,28.49655,5.84421,18.14506,352.3957728,18638.61919,1421.659289,280.44691670465
Iraq,4.50774,1.77486,1.76101,405.4541546,14164.79178,,239.89092033017
Ireland,43.31816,9.6168,,3347.656252,16477.89692,4753.82426,406.64510498706
Israel,200.80483,1.93439,97.95962,843.0233499,13322.4746,1928.101864,360.21393382032
Italy,42.56842,8.67502,35.85964,1496.456934,15031.25249,2642.002554,415.75207937063
Jamaica,29.52714,9.36651,12.25655,1155.679708,14044.41679,2455.227837,214.19320840629
Japan,262.77172,20.11098,107.03735,648.5820771,9915.331661,1532.439488,282.17440617849
Jordan,7.06386,0.60048,5.90656,413.3490725,14222.3499,1068.955158,217.47040384607
Kazakhstan,,,,3744.07194,9969.932322,4539.48505,163.52038891883
Kenya,2.54042,0.10162,0.18418,600.1666883,10822.80952,1034.087809,119.32372341371
Kuwait,,,,502.1567047,14267.3628,1451.24064,435.26227666802
Kyrgyzstan,29.30746,1.43213,9.46227,2908.828444,10320.68905,3458.356533,99.23461667261
Laos,,,,829.2846935,11339.42167,1442.020048,112.42057697813
Latvia,102.52612,77.68498,32.82041,2668.464225,13045.18427,3749.9588,132.61003579807
Lebanon,30.59055,1.14502,8.98918,435.2072131,15606.72047,1401.38132,232.88225169220
Lesotho,,,,2007.580662,12293.07127,2725.828653,125.92725893076
Liberia,2.37797,0.71116,7.84511,439.2429876,11348.02051,,83.64052599095
Libya,,0.03208,,498.8368582,15747.49947,1692.213064,238.31595395637
Lithuania,89.77034,4.74092,84.07442,2520.387705,13804.82791,3320.898998,141.16137158288
Luxembourg,114.33794,5.64631,17.82119,2617.786189,14319.76611,4227.132148,530.32542691667
Madagascar,1.42362,0.0784,0.4828,1087.109803,11208.02373,1499.23738,92.87407346564
Malawi,,,,1116.669263,10792.01318,1524.449954,86.36476578941
Malaysia,11.05355,3.59989,8.9151,560.4305888,11869.66258,1371.824302,171.16349088719
Mali,0.31486,0.00572,0.13167,,,645.7963998,91.08062553602
Mauritania,0.33474,0.07173,0.43038,369.6185879,9373.904051,810.1651302,118.93871227530
Mexico,3.34178,0.25339,6.43572,1363.265463,11825.04916,2165.180924,256.35849629363
Mongolia,21.73419,0.57106,8.43166,4526.174036,10428.3708,5075.015825,140.76598238711
Montenegro,50.78178,0.63676,27.69915,2126.658976,11778.35941,2804.194748,140.23499732944
Morocco,6.22929,0.65224,4.51107,432.6794936,15443.18003,1130.444792,199.01744966823
Mozambique,2.41694,0.83539,0.4534,1156.075213,10950.6232,1546.00934,84.27225029080
Myanmar,3.22687,0.11831,0.71751,803.453734,10706.56611,1422.147251,101.54204223380
Namibia,13.1516,0.20615,2.92717,1873.710285,10092.54111,2721.257883,176.45780775906
Nepal,1.75878,0.19542,1.43773,1138.477081,13003.35808,1620.555905,114.79636617017
Netherlands,,0.20073,144.33392,1796.303626,15927.72803,2993.794397,319.28974008989
New Zealand,45.03165,0.60678,103.67248,3244.373528,17089.2477,5081.266934,510.66628598885
Nicaragua,3.61721,0.75632,6.0506,2579.112309,12470.56164,3073.955508,186.70508363859
Niger,0.52148,1.73671,0.18624,309.5819457,9280.181801,601.6466607,73.39555243258
Nigeria,,,,383.0195572,9186.642397,762.1998918,131.52144342362
Macedonia,57.7115,0.96186,18.27532,2065.693893,11555.33629,2579.640045,135.68899371818
Norway,74.32927,3.25009,121.56153,1744.422429,15393.77421,3048.830901,421.86530215390
Oman,,,5.52406,592.3195562,13808.68287,1432.948487,369.62651698009
Pakistan,8.73479,3.03358,,1122.451722,11479.81533,1653.732664,128.70108521229
Palestine,,,,368.9329372,16459.99319,979.1790372,174.13518575764
Panama,9.77515,3.02323,24.03477,1576.971648,11575.22142,2382.600385,287.02734209372
Papua New Guinea,,,,691.4908502,10984.7203,1478.967693,88.39159030286
Paraguay,6.22071,1.58152,,2618.425202,15192.17056,3552.698111,242.48341726683
Peru,3.7735,0.27091,18.45001,799.2116689,13340.64792,2034.839617,313.02888061250
Philippines,7.4983,0.3549,1.40292,760.2708854,11181.5236,1415.402969,112.06223158861
Poland,46.04964,4.30939,71.43823,3684.647329,10621.94768,4455.438922,167.25747884878
Portugal,23.87106,1.80449,,3172.90261,18403.68798,4036.761945,336.35683850173
Puerto Rico,,,,1546.812415,14226.85347,2670.915792,266.73402434300
Qatar,3.51463,0.61123,14.1731,723.3415775,14317.64679,1853.841473,525.58587440050
South Korea,110.22329,3.09722,29.45033,2950.837078,10689.42904,3941.724371,312.47941862190
Moldova,36.39959,1.3035,20.7822,2408.724925,13163.37063,3088.27216,101.43456294313
Romania,137.51332,1.75081,26.35759,2351.120377,11422.92138,2747.684672,131.88505758189
Russia,93.0286,2.66388,15.5211,3304.280125,11275.07833,4371.023868,142.84547268817
Rwanda,3.78346,0.81688,1.99493,2451.708182,11488.93035,2951.121412,104.09063623264
Saudi Arabia,18.06564,0.6116,17.97057,562.9074651,14239.21497,1466.812435,372.96993714042
Senegal,2.42372,0.10016,0.55419,395.0321281,9701.714431,795.4037446,109.09012519766
Republic of Serbia,59.73147,1.06198,26.7306,2385.380541,11631.93249,2854.322619,124.32327660165
Sierra Leone,3.45446,0.02764,0.42836,420.6541314,10932.54907,843.0159627,95.17055182080
Slovakia,,,,2763.746831,11484.83941,3503.990621,163.67290701390
Slovenia,150.81059,11.76024,59.95794,3043.281217,12032.09605,3743.578341,145.42953439862
Solomon Islands,,,,588.6809309,11177.86062,1363.488694,73.41906554240
Somalia,0.5033,0.01438,,859.966819,12326.39436,47.28607568,47.28607567890
South Africa,20.88577,0.29841,1.52104,1970.92407,11715.68078,3132.409197,184.68817301129
South Sudan,0.10099,0.01684,0.30298,970.0464455,10943.49377,1412.762088,146.38061864269
Spain,42.45472,3.25663,12.68167,1628.899166,17212.44809,3343.813785,469.17351513368
Sri Lanka,10.25875,1.72348,4.32557,892.4750915,11420.06556,1567.383351,117.23788140076
Sudan,0.81247,,0.63134,354.791266,14871.05744,828.1392805,160.44042999635
Suriname,,,18.79944,1590.278101,15220.95416,2479.702379,225.05177835064
Sweden,31.0952,,71.42883,2335.896827,14748.06664,3419.814765,431.57616193847
Switzerland,163.52617,3.32942,220.75132,2544.298323,16342.91592,4061.731662,418.82520752004
Syria,5.60449,2.29517,3.30397,387.1732545,15926.76861,897.6393247,160.73110356679
Taiwan,,,,693.1518666,11001.77031,1525.06672,157.57411753575
Tajikistan,16.84476,0.32754,2.88934,2251.543902,10029.79173,2747.448307,98.23322811731
Thailand,6.84119,1.48854,10.72423,1327.974373,12419.6737,2206.546579,124.31201593537
East Timor,1.93396,6.76886,3.14268,602.742203,10220.53776,1231.784977,100.00828606540
Togo,2.2921,0.20224,0.78201,439.4676014,10939.43501,787.0055905,94.80586057406
Trinidad and Tobago,60.29004,0.80876,,1589.495915,14495.00837,2610.963024,273.51945348022
Tunisia,0.26611,0.00887,0.20402,432.3678269,15802.59846,208.0335127,208.03351269082
Turkey,10.7881,0.83044,156.06835,,,1274.492907,318.93540867997
Turkmenistan,,,,2717.707476,9720.435488,3334.830739,160.16561549372
Uganda,1.33267,0.97646,2.3988,606.882342,11638.68896,1105.868356,98.39990140261
Ukraine,67.40158,1.81603,6.9305,2900.895776,12781.8039,3718.453795,106.52386980661
United Arab Emirates,3.88888,0.62265,7.14419,810.0646812,13665.65045,2101.157025,387.97820980672
United Kingdom,,,,3289.930742,14463.62293,5281.29452,370.77040014198
United Republic of Tanzania,2.10654,0.08723,0.49184,1078.889582,10513.79856,1536.713982,107.31412425777
United States of America,29.80316,0.91114,105.02668,2478.592359,16151.00196,5961.912947,378.46487544289
Uruguay,49.97738,1.63191,14.13355,1819.662116,13542.00142,3277.700404,331.00635147669
Uzbekistan,24.98384,0.22921,11.91567,1956.194011,9820.750131,2526.841715,127.59800361466
Vanuatu,1.5117,3.40132,6.04679,672.7618095,11082.3826,1338.022879,82.09412663235
Venezuela,0,,,,,2180.547176,213.62019203758
Vietnam,8.29526,0.0684,,1406.71103,9569.116281,2116.079215,101.88841651450
Yemen,3.80068,0.12261,0.98826,346.2719577,15183.62827,763.0766527,133.91938034719
Zambia,3.44708,0.34781,1.5341,1183.655858,10297.45034,1607.328958,124.00768349046
Zimbabwe,13.02492,0.16479,4.27192,1411.464816,9643.584776,2043.489022,105.92568495804